NumTrees,MaxDepth,train_RMSE,test_RMSE
50,10,1.8926327665081952,2.5519637122073613
50,20,1.0667279718833287,2.4762478866731454
50,40,0.9486036337515724,2.4875991003225275
50,None,0.9481322828027519,2.4827621873759202
100,10,1.888209931502167,2.5529595503225
100,20,1.0615877003103689,2.464401678728459
100,40,0.9453708026096443,2.476417196211032
100,None,0.9430755065865463,2.4745454631461157
200,10,1.8827252090914954,2.5444556329275074
200,20,1.0535698525739212,2.462513381003543
200,40,0.9343783034876567,2.4695008638518754
200,None,0.9311350935237444,2.4667990803295807
